usager_id;nom;prenom;date_naissance;telephone;email;ville;besoin_fauteuil;besoin_accompagnateur;statut
USG-0001;Usager01;Alex;1964-01-06;06 21 62 44 23;usager01@example.fr;Paris;Non;Non;Actif
USG-0002;Usager02;Alex;1954-04-28;06 27 53 81 52;usager02@example.fr;Montreuil;Oui;Non;Actif
USG-0003;Usager03;Charlie;1973-11-16;06 18 10 50 67;;Paris;Oui;Oui;Actif
USG-0004;Usager04;Alex;1966-03-06;06 65 83 71 43;usager04@example.fr;Paris;Non;Non;Actif
USG-0005;Usager05;Sam;1994-08-17;06 91 77 82 50;;Saint-Denis;Non;Non;Actif
USG-0006;Usager06;Lou;1993-07-07;06 72 76 95 63;usager06@example.fr;Paris;Non;Non;Actif
USG-0007;Usager07;Alex;1983-09-06;06 94 43 31 52;usager07@example.fr;Creteil;Non;Non;Actif
USG-0008;Usager08;Camille;1941-06-18;06 34 85 21 90;usager08@example.fr;Nanterre;Non;Non;Actif
USG-0009;Usager09;Alex;1997-04-23;06 46 73 90 39;usager09@example.fr;Montreuil;Oui;Non;Actif
USG-0010;Usager10;Noa;1943-12-17;06 11 27 68 34;;Nanterre;Non;Non;Actif
USG-0011;Usager11;Alex;1949-09-29;06 89 18 75 55;usager11@example.fr;Paris;Non;Oui;Actif
USG-0012;Usager12;Alex;1989-01-13;06 98 91 61 13;usager12@example.fr;Nanterre;Non;Oui;Actif
USG-0013;Usager13;Noa;1971-04-03;06 13 91 91 30;usager13@example.fr;Creteil;Oui;Non;Actif
USG-0014;Usager14;Lou;1961-01-29;06 20 90 17 76;usager14@example.fr;Nanterre;Oui;Non;Actif
USG-0015;Usager15;Noa;1973-01-21;06 26 78 53 76;;Montreuil;Non;Non;Inactif
USG-0016;Usager16;Sam;1980-10-17;06 95 12 54 67;usager16@example.fr;Saint-Denis;Non;Non;Actif
USG-0017;Usager17;Noa;1942-07-14;06 30 76 51 76;usager17@example.fr;Montreuil;Non;Oui;Actif
USG-0018;Usager18;Sam;1991-02-25;06 53 21 44 74;usager18@example.fr;Nanterre;Oui;Oui;Actif
USG-0019;Usager19;Sam;1985-04-26;06 35 12 34 44;usager19@example.fr;Paris;Non;Oui;Actif
USG-0020;Usager20;Sam;1987-12-04;06 27 71 73 60;usager20@example.fr;Nanterre;Non;Non;Actif
USG-0021;Usager21;Camille;1975-07-06;06 38 74 26 88;usager21@example.fr;Versailles;Non;Non;Actif
USG-0022;Usager22;Alex;2002-01-06;06 16 56 68 56;usager22@example.fr;Creteil;Non;Non;Actif
USG-0023;Usager23;Sam;1956-03-17;06 58 17 63 58;usager23@example.fr;Montreuil;Non;Non;Inactif
USG-0024;Usager24;Camille;1950-12-22;06 43 74 87 51;;Creteil;Oui;Non;Actif
USG-0025;Usager25;Charlie;2003-05-15;06 51 41 92 67;usager25@example.fr;Creteil;Non;Non;Actif
USG-0026;Usager26;Noa;1984-12-11;06 83 45 53 16;usager26@example.fr;Paris;Non;Non;Actif
USG-0027;Usager27;Charlie;1943-11-02;06 70 79 28 51;usager27@example.fr;Montreuil;Non;Oui;Actif
USG-0028;Usager28;Charlie;1965-11-25;06 84 11 51 59;usager28@example.fr;Paris;Non;Non;Actif
USG-0029;Usager29;Camille;1978-02-15;06 15 87 11 73;usager29@example.fr;Montreuil;Oui;Non;Actif
USG-0030;Usager30;Charlie;1957-05-29;06 48 73 69 38;usager30@example.fr;Paris;Oui;Non;Actif
USG-0031;Usager31;Sam;1986-09-18;06 18 91 60 62;usager31@example.fr;Creteil;Oui;Non;Actif
USG-0032;Usager32;Noa;1986-05-29;06 55 29 73 27;usager32@example.fr;Montreuil;Non;Non;Actif
USG-0033;Usager33;Sam;1946-08-03;06 61 13 11 62;usager33@example.fr;Versailles;Oui;Non;Actif
USG-0034;Usager34;Noa;2002-09-11;06 47 33 48 24;usager34@example.fr;Saint-Denis;Non;Non;Inactif
USG-0035;Usager35;Camille;1953-09-18;06 69 38 63 38;usager35@example.fr;Creteil;Non;Non;Inactif
USG-0036;Usager36;Noa;1943-10-27;06 46 27 70 23;usager36@example.fr;Creteil;Non;Non;Actif
USG-0037;Usager37;Noa;1986-09-23;06 55 46 56 37;usager37@example.fr;Paris;Oui;Non;Actif
USG-0038;Usager38;Charlie;1999-08-11;06 51 20 95 36;usager38@example.fr;Montreuil;Non;Non;Actif
USG-0039;Usager39;Alex;1954-08-01;06 21 52 14 22;usager39@example.fr;Creteil;Non;Non;Actif
USG-0040;Usager40;Alex;1953-08-10;06 24 69 99 21;usager40@example.fr;Paris;Non;Non;Actif
USG-0041;Usager41;Sam;1961-02-03;06 65 53 95 28;;Paris;Non;Non;Actif
USG-0042;Usager42;Sam;1945-06-17;06 17 80 18 24;usager42@example.fr;Nanterre;Oui;Non;Inactif
USG-0043;Usager43;Charlie;1997-06-28;06 79 43 63 81;usager43@example.fr;Saint-Denis;Oui;Non;Inactif
USG-0044;Usager44;Camille;1971-05-22;06 50 98 10 54;usager44@example.fr;Paris;Non;Oui;Actif
USG-0045;Usager45;Charlie;1969-03-19;06 66 23 86 78;usager45@example.fr;Saint-Denis;Non;Non;Actif
